Thu Apr 28 23:32:48 2016
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0], 14.344433403411806), ([1, 15, 19, 3, 12, 17, 14, 2, 7, 5, 20, 11, 13, 6, 18, 4, 9, 8, 10, 16], 14.344433403411806)]
[([0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 16, 0, 16, 16], 1.3267874575758587), ([1, 11, 2, 15, 20, 9, 5, 12, 19, 14, 17, 10, 13, 4, 18, 7, 6, 8, 3, 16], 1.3267874575758587)]
[([0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 16, 16, 0, 0, 0, 0, 0, 16, 0], 1.5947127749426568), ([1, 15, 4, 18, 6, 9, 11, 7, 3, 5, 12, 20, 19, 10, 14, 2, 17, 8, 13, 16], 1.5947127749426568)]
[([0, 0, 0, 0, 0, 0, 16, 16, 16, 0, 0, 16, 16, 0, 0, 0, 16, 0, 0, 0], 1.4382213706264029), ([1, 7, 9, 11, 19, 12, 5, 14, 15, 13, 6, 18, 4, 20, 8, 10, 3, 2, 17, 16], 1.4382213706264029)]
[([0, 0, 0, 0, 0, 16, 0, 0, 16, 0, 0, 0, 16, 16, 0, 0, 16, 0, 16, 16], 1.4882625194903971), ([1, 17, 19, 5, 11, 18, 8, 13, 15, 4, 7, 9, 6, 12, 20, 3, 10, 2, 14, 16], 1.4882625194903971)]
[([0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 16, 16, 0, 0, 0, 16, 0, 0, 16], 1.321251947188448), ([1, 20, 17, 2, 10, 8, 7, 9, 11, 13, 5, 18, 4, 12, 14, 3, 6, 19, 15, 16], 1.321251947188448)]
[([0, 0, 0, 0, 0, 0, 16, 0, 16, 0, 0, 16, 0, 16, 0, 0, 0, 0, 16, 16], 1.535546709057633), ([1, 12, 19, 17, 7, 5, 6, 4, 18, 9, 11, 15, 13, 3, 8, 20, 10, 14, 2, 16], 1.535546709057633)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16, 0, 16, 0], 23.0896887085583), ([1, 8, 14, 2, 19, 9, 5, 7, 12, 4, 18, 13, 11, 6, 3, 20, 10, 15, 17, 16], 23.0896887085583)]
[([0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16, 0, 0, 16], 20.586516981153334), ([1, 3, 7, 19, 12, 18, 9, 11, 6, 5, 10, 2, 14, 15, 8, 13, 20, 4, 17, 16], 20.586516981153334)]
[([0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 0, 16, 16, 0, 0, 0, 0, 16, 16], 1.435936336311838), ([1, 4, 7, 18, 11, 12, 19, 3, 17, 10, 13, 15, 2, 14, 8, 5, 9, 6, 20, 16], 1.435936336311838)]
[([0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16], 1.1918783019392691), ([1, 2, 17, 8, 5, 12, 11, 19, 18, 20, 14, 9, 4, 6, 7, 15, 13, 3, 10, 16], 1.1918783019392691)]
[([0, 0, 0, 0, 0, 0, 16, 16, 16, 0, 0, 16, 0, 0, 0, 0, 16, 0, 16, 0], 1.6171619486313826), ([1, 10, 2, 14, 5, 9, 6, 11, 8, 20, 13, 15, 4, 7, 18, 12, 19, 3, 17, 16], 1.6171619486313826)]
